agent_id,eVTOL_type,simulation_type,algorithm_type,Number_of_conflicts,Desired_time_of_departure,Actual_time_of_departure,Ideal_time_of_arrival,Actual_time_of_arrival,Time_required_for_preflight_calculation,Average_time_to_plan_avoidance,Total_planning_time,Location_of_weather_statistics
1200098,vector_thrust,strategic,LocalVO,0,2810.0,2810.0,3279.2567567567567,3929.2567567567567,0.0046041011810302,,,
1201202,vector_thrust,strategic,LocalVO,0,2880.0,2880.0,3818.513513513513,4188.51351351351,0.0132851600646972,,,
1200220,vector_thrust,strategic,LocalVO,0,2870.0,2870.0,3808.513513513513,4408.51351351351,0.0081300735473632,,,
1201009,vector_thrust,strategic,LocalVO,0,2030.0,2030.0,2499.2567567567567,2499.256756756757,0.0084950923919677,,,
1200330,vector_thrust,strategic,LocalVO,1,3140.0,3140.0,4381.536679415107,4681.536679415108,0.0099120140075683,,,
1201734,vector_thrust,strategic,LocalVO,2,2580.0,2580.0,3987.77027027027,6168.007771698132,0.0371630191802978,,,
1201481,vector_thrust,strategic,LocalVO,3,2400.0,2400.0,3641.536679415107,4961.536679415108,0.0185394287109375,,,
1201402,vector_thrust,strategic,LocalVO,2,2580.0,2580.0,3987.77027027027,4558.007771698132,0.0371630191802978,,,
1201480,vector_thrust,strategic,LocalVO,2,2580.0,2580.0,3987.77027027027,4948.007771698132,0.0371630191802978,,,
1200111,vector_thrust,strategic,LocalVO,0,2870.0,2870.0,3808.513513513513,3988.5135135135097,0.0081300735473632,,,
1200815,vector_thrust,strategic,LocalVO,1,2350.0,2350.0,3162.7765444976926,3862.776544497692,0.007974624633789,,,
1201073,vector_thrust,strategic,LocalVO,0,320.0,320.0,789.2567567567568,789.2567567567569,0.0023765563964843,,,
1200194,vector_thrust,strategic,LocalVO,1,2970.0,2970.0,4211.536679415107,4331.536679415108,0.0089418888092041,,,
1200004,vector_thrust,strategic,LocalVO,0,1120.0,1120.0,2058.5135135135133,2058.5135135135133,0.0213217735290527,,,
1201665,vector_thrust,strategic,LocalVO,2,2580.0,2580.0,3987.77027027027,5828.007771698132,0.0371630191802978,,,
1200515,vector_thrust,strategic,LocalVO,1,2740.0,2740.0,3678.513513513513,3838.5135135135097,0.0074748992919921,,,
1200228,vector_thrust,strategic,LocalVO,0,2870.0,2870.0,3808.513513513513,4428.51351351351,0.0081300735473632,,,
1200154,vector_thrust,strategic,LocalVO,0,2870.0,2870.0,3808.513513513513,4198.51351351351,0.0081300735473632,,,
1200964,vector_thrust,strategic,LocalVO,0,4250.0,4250.0,4719.256756756757,4819.256756756757,0.0106425285339355,,,
